Fila,Nombre,Tipo,Coordenadas
805,Charly Fabre Gestión Inmobiliaria,UBICACION_COMPARTIDA,"-32.48575, -58.22604"
829,OXÍGENO Arte & Fitness,UBICACION_COMPARTIDA,"-32.48566, -58.27266"
1364,"El Nene, Chapa y Pintura",UBICACION_COMPARTIDA,"-32.4856329, -58.2723591"
29,Estudio Contable Bonnin-Francou,UBICACION_COMPARTIDA,"-32.4856966, -58.2433778"
221,Diego Magri: pastelería artesanal,UBICACION_COMPARTIDA,"-32.48531, -58.24334"
154,Bus station in Concepción del Uruguay,UBICACION_COMPARTIDA,"-32.48539, -58.24195"
338,Melina Firpo Estilista y Colorista,UBICACION_COMPARTIDA,"-32.48571, -58.24217"
1137,Barber Shop Blas Martin,UBICACION_COMPARTIDA,"-32.4856476, -58.2419972"
1147,Andrea Colman Nails Studio,UBICACION_COMPARTIDA,"-32.4856712, -58.2422101"
1412,CS Audio Alarmas Baterías,UBICACION_COMPARTIDA,"-32.4854807, -58.2421452"
64,SUELECTRIC Materiales Electricos,UBICACION_COMPARTIDA,"-32.4855479, -58.2414459"
632,Keburgercdu,UBICACION_COMPARTIDA,"-32.4857, -58.24147"
1320,Relax: Colchonería y Blanquería,UBICACION_COMPARTIDA,"-32.4855223, -58.2414413"
1439,Shell (Scelzi y Gral. Galarza),UBICACION_COMPARTIDA,"-32.4853053, -58.2413045"
1442,Flechabus (Terminal de Ómnibus),UBICACION_COMPARTIDA,"-32.4855877, -58.2417164"
629,Cremolatti (Gral. Galarza 1201),UBICACION_COMPARTIDA,"-32.48536, -58.24076"
672,Kiosco A Toda Hora,UBICACION_COMPARTIDA,"-32.4856, -58.24112"
341,San Marcos,UBICACION_COMPARTIDA,"-32.48527, -58.24069"
353,Amancay Estética y Nutrición,UBICACION_COMPARTIDA,"-32.48551, -58.24063"
1164,Lolita,UBICACION_COMPARTIDA,"-32.485349, -58.2402784"
787,Colchonería Ensueño,UBICACION_COMPARTIDA,"-32.4857, -58.2384"
1319,Ensueño Colchonería,UBICACION_COMPARTIDA,"-32.4857017, -58.2384003"
35,Inmobiliaria Galotto,UBICACION_COMPARTIDA,"-32.4856037, -58.2379249"
677,Inmobiliaria Galotto,UBICACION_COMPARTIDA,"-32.48553, -58.23779"
775,Pomelo Accesorios,UBICACION_COMPARTIDA,"-32.48562, -58.23798"
780,Dr Computers Instituto de Computación,UBICACION_COMPARTIDA,"-32.48546, -58.23801"
1327,Prevención 24,UBICACION_COMPARTIDA,"-32.4856009, -58.2379533"
1470,Consultorios Médicos Chacabuco 31 (Endocrinología/Medicina General/Odontología/Nutrición/Quiropraxia/Kinesiología),UBICACION_COMPARTIDA,"-32.485311, -58.2381828"
112,Agroveterinaria 9 de Julio de Argacha Hirinson,UBICACION_COMPARTIDA,"-32.48553, -58.23749"
511,Iglesia Evangélica del Río de la Plata Concepción del Uruguay,UBICACION_COMPARTIDA,"-32.48563, -58.2376"
550,Juguetería Nico (9 de Julio),UBICACION_COMPARTIDA,"-32.48563, -58.2376"
